api_id;timestamptz;failures;is_success;adr_version;failed_rules
d5G_wIHvR;2023-12-20 13:04:45.573429+00;1;FALSE;1.0;"[{""code"": ""API-48"", ""rule"": ""Leave off trailing slashes from URIs"", ""message"": ""Path '/' ends with a slash""}]"
d5G_wIHvR;2024-06-29 04:20:48.913973+00;2;FALSE;1.0;"[{""code"": ""API-03"", ""rule"": ""Only apply standard HTTP methods"", ""message"": ""Server responds to non-standard methods: BREW, WHEN""}, {""code"": ""API-48"", ""rule"": ""Leave off trailing slashes from URIs"", ""message"": ""Path '/' ends with a slash""}]"
d5G_wIHvR;2024-07-22 04:20:26.127756+00;3;FALSE;1.0;"[{""code"": ""API-03"", ""rule"": ""Only apply standard HTTP methods"", ""message"": ""Server responds to non-standard methods: BREW, WHEN""}, {""code"": ""API-48"", ""rule"": ""Leave off trailing slashes from URIs"", ""message"": ""Path '/' ends with a slash""}, {""code"": ""API-57"", ""rule"": ""Return the full version number in a response header"", ""message"": ""Request to base URL failed""}]"
d5G_wIHvR;2024-07-23 04:21:17.133157+00;2;FALSE;1.0;"[{""code"": ""API-03"", ""rule"": ""Only apply standard HTTP methods"", ""message"": ""Server responds to non-standard methods: BREW, WHEN""}, {""code"": ""API-48"", ""rule"": ""Leave off trailing slashes from URIs"", ""message"": ""Path '/' ends with a slash""}]"
d5G_wIHvR;2024-08-29 04:20:14.013735+00;5;FALSE;1.0;"[{""code"": ""API-03"", ""rule"": ""Only apply standard HTTP methods"", ""message"": ""Server responds to non-standard methods: MKCALENDAR, BREW, WHEN""}, {""code"": ""API-16"", ""rule"": ""Use OpenAPI Specification for documentation"", ""message"": ""No OpenAPI Specification found""}, {""code"": ""API-48"", ""rule"": ""Leave off trailing slashes from URIs"", ""message"": ""OpenAPI Specification is required""}, {""code"": ""API-51"", ""rule"": ""Publish OAS document at a standard location in JSON-format"", ""message"": ""No OpenAPI Specification found""}, {""code"": ""API-56"", ""rule"": ""Adhere to the Semantic Versioning model when releasing API changes"", ""message"": ""OpenAPI Specification is required""}]"
d5G_wIHvR;2024-08-30 04:20:21.533054+00;2;FALSE;1.0;"[{""code"": ""API-03"", ""rule"": ""Only apply standard HTTP methods"", ""message"": ""Server responds to non-standard methods: BREW, WHEN""}, {""code"": ""API-48"", ""rule"": ""Leave off trailing slashes from URIs"", ""message"": ""Path '/' ends with a slash""}]"
d5G_wIHvR;2024-12-08 05:25:32.367901+00;5;FALSE;1.0;"[{""code"": ""API-03"", ""rule"": ""Only apply standard HTTP methods"", ""message"": ""Server responds to non-standard methods: BREW, WHEN""}, {""code"": ""API-16"", ""rule"": ""Use OpenAPI Specification for documentation"", ""message"": ""No OpenAPI Specification found""}, {""code"": ""API-48"", ""rule"": ""Leave off trailing slashes from URIs"", ""message"": ""OpenAPI Specification is required""}, {""code"": ""API-51"", ""rule"": ""Publish OAS document at a standard location in JSON-format"", ""message"": ""No OpenAPI Specification found""}, {""code"": ""API-56"", ""rule"": ""Adhere to the Semantic Versioning model when releasing API changes"", ""message"": ""OpenAPI Specification is required""}]"
d5G_wIHvR;2024-12-09 05:26:02.749211+00;2;FALSE;1.0;"[{""code"": ""API-03"", ""rule"": ""Only apply standard HTTP methods"", ""message"": ""Server responds to non-standard methods: BREW, WHEN""}, {""code"": ""API-48"", ""rule"": ""Leave off trailing slashes from URIs"", ""message"": ""Path '/' ends with a slash""}]"
d5G_wIHvR;2025-01-10 05:22:16.688228+00;1;FALSE;2.0;"[{""code"": ""/core/no-trailing-slash"", ""rule"": ""Leave off trailing slashes from URIs"", ""message"": ""Path '/' ends with a slash""}]"
d5G_wIHvR;2025-04-12 04:22:46.07903+00;2;FALSE;2.0;"[{""code"": ""/core/no-trailing-slash"", ""rule"": ""Leave off trailing slashes from URIs"", ""message"": ""Path '/' ends with a slash""}, {""code"": ""/core/version-header"", ""rule"": ""Return the full version number in a response header"", ""message"": ""Niet alle responses hebben een 'API-Version' header""}]"
d5G_wIHvR;2025-04-23 04:22:59.542652+00;6;FALSE;2.0;"[{""code"": ""/core/http-methods"", ""rule"": ""Only apply standard HTTP methods"", ""message"": ""No OpenAPI Specification found""}, {""code"": ""/core/doc-openapi"", ""rule"": ""Use OpenAPI Specification for documentation"", ""message"": ""No OpenAPI Specification found""}, {""code"": ""/core/no-trailing-slash"", ""rule"": ""Leave off trailing slashes from URIs"", ""message"": ""OpenAPI Specification is required""}, {""code"": ""/core/publish-openapi"", ""rule"": ""Publish OAS document at a standard location in JSON-format"", ""message"": ""No OpenAPI Specification found""}, {""code"": ""/core/semver"", ""rule"": ""Adhere to the Semantic Versioning model when releasing API changes"", ""message"": ""OpenAPI Specification is required""}, {""code"": ""/core/version-header"", ""rule"": ""Return the full version number in a response header"", ""message"": ""OpenAPI Specification is required""}]"
d5G_wIHvR;2025-04-24 04:22:46.921178+00;2;FALSE;2.0;"[{""code"": ""/core/no-trailing-slash"", ""rule"": ""Leave off trailing slashes from URIs"", ""message"": ""Path '/' ends with a slash""}, {""code"": ""/core/version-header"", ""rule"": ""Return the full version number in a response header"", ""message"": ""Niet alle responses hebben een 'API-Version' header""}]"
